station,pinyin,telecode
北京北,beijingbei,VAP
北京东,beijingdong,BOP
北京,beijing,BJP
北京南,beijingnan,VNP
北京西,beijingxi,BXP
广州南,guangzhounan,IZQ
重庆北,chongqingbei,CUW
重庆,chongqing,CQW
重庆南,chongqingnan,CRW
广州东,guangzhoudong,GGQ
上海,shanghai,SHH
上海南,shanghainan,SNH
上海虹桥,shanghaihongqiao,AOH
上海西,shanghaixi,SXH
天津北,tianjinbei,TBP
天津,tianjin,TJP
天津南,tianjinnan,TIP
天津西,tianjinxi,TXP
长春,changchun,CCT
长春南,changchunnan,CET
长春西,changchunxi,CRT
成都东,chengdudong,ICW
成都南,chengdunan,CNW
成都,chengdu,CDW
长沙,changsha,CSQ
长沙南,changshanan,CWQ
福州,fuzhou,FZS
福州南,fuzhounan,FYS
贵阳,guiyang,GIW
广州,guangzhou,GZQ
广州西,guangzhouxi,GXQ
哈尔滨,haerbin,HBB
哈尔滨东,haerbindong,VBB
哈尔滨西,haerbinxi,VAB
合肥,hefei,HFH
合肥西,hefeixi,HTH
呼和浩特东,huhehaotedong,NDC
呼和浩特,huhehaote,HHC
海  口东,haikoudong,KEQ
海口东,haikoudong,HMQ
海口,haikou,VUQ
杭州东,hangzhoudong,HGH
杭州,hangzhou,HZH
杭州南,hangzhounan,XHH
济南,jinan,JNK
济南东,jinandong,JAK
济南西,jinanxi,JGK
昆明,kunming,KMM
昆明西,kunmingxi,KXM
拉萨,lasa,LSO
兰州东,lanzhoudong,LVJ
兰州,lanzhou,LZJ
兰州西,lanzhouxi,LAJ
南昌,nanchang,NCG
南京,nanjing,NJH
南京南,nanjingnan,NKH
南宁,nanning,NNZ
石家庄北,shijiazhuangbei,VVP
石家庄,shijiazhuang,SJP
沈阳,shenyang,SYT
沈阳北,shenyangbei,SBT
沈阳东,shenyangdong,SDT
太原北,taiyuanbei,TBV
太原东,taiyuandong,TDV
太原,taiyuan,TYV
武汉,wuhan,WHN
王家营西,wangjiayingxi,KNM
乌鲁木齐南,wulumuqinan,WMR
西安北,xianbei,EAY
西安,xian,XAY
西安南,xiannan,CAY
西宁,xining,XNO
银川,yinchuan,YIJ
郑州,zhengzhou,ZZF
阿尔山,aershan,ART
安康,ankang,AKY
阿克苏,akesu,ASR
阿里河,alihe,AHX
阿拉山口,alashankou,AKR
安平,anping,APT
安庆,anqing,AQH
安顺,anshun,ASW
鞍山,anshan,AST
安阳,anyang,AYF
北安,beian,BAB
蚌埠,bengbu,BBH
白城,baicheng,BCT
北海,beihai,BHZ
白河,baihe,BEL
白涧,baijian,BAP
宝鸡,baoji,BJY
滨江,binjiang,BJB
博克图,boketu,BKX
百色,baise,BIZ
白山市,baishanshi,HJL
北台,beitai,BTT
包头东,baotoudong,BDC
包头,baotou,BTC
北屯市,beitunshi,BXR
本溪,benxi,BXT
白云鄂博,baiyunebo,BEC
白银西,baiyinxi,BXJ
亳州,bozhou,BZH
赤壁,chibi,CBN
常德,changde,VGQ
承德,chengde,CDP
长甸,changdian,CDT
赤峰,chifeng,CFD
茶陵,chaling,CDG
苍南,cangnan,CEH
昌平,changping,CPP
崇仁,chongren,CRG
昌图,changtu,CTT
长汀镇,changtingzhen,CDB
曹县,caoxian,CXK
楚雄,chuxiong,COM
陈相屯,chenxiangtun,CXT
长治北,changzhibei,CBF
池州,chizhou,IYH
长征,changzheng,CZJ
常州,changzhou,CZH
郴州,chenzhou,CZQ
长治,changzhi,CZF
沧州,cangzhou,COP
崇左,chongzuo,CZZ
大安北,daanbei,RNT
大成,dacheng,DCT
丹东,dandong,DUT
东方红,dongfanghong,DFB
东莞东,dongguandong,DMQ
大虎山,dahushan,DHD
敦煌,dunhuang,DHJ
敦化,dunhua,DHL
德惠,dehui,DHT
东京城,dongjingcheng,DJB
大涧,dajian,DFP
都江堰,dujiangyan,DDW
大连北,dalianbei,DFT
大理,dali,DKM
大连,dalian,DLT
定南,dingnan,DNG
大庆,daqing,DZX
东胜,dongsheng,DOC
大石桥,dashiqiao,DQT
大同,datong,DTV
东营,dongying,DPK
大杨树,dayangshu,DUX
都匀,duyun,RYW
邓州,dengzhou,DOF
达州,dazhou,RXW
德州,dezhou,DZP
额济纳,ejina,EJC
二连,erlian,RLC
恩施,enshi,ESN
福鼎,fuding,FES
凤凰机场,fenghuangjichang,FJQ
风陵渡,fenglingdu,FLV
涪陵,fuling,FLW
富拉尔基,fulaerji,FRX
抚顺北,fushunbei,FET
佛山,foshan,FSQ
阜新,fuxin,FXD
阜阳,fuyang,FYH
格尔木,geermu,GRO
广汉,guanghan,GHW
古交,gujiao,GJV
桂林北,guilinbei,GBZ
古莲,gulian,GRX
桂林,guilin,GLZ
固始,gushi,GXN
广水,guangshui,GSN
干塘,gantang,GNJ
广元,guangyuan,GYW
广州北,guangzhoubei,GBQ
赣州,ganzhou,GZG
公主岭,gongzhuling,GLT
公主岭南,gongzhulingnan,GBT
淮安,huaian,AUH
鹤北,hebei,HMB
淮北,huaibei,HRH
淮滨,huaibin,HVN
河边,hebian,HBV
潢川,huangchuan,KCN
韩城,hancheng,HCY
邯郸,handan,HDP
横道河子,hengdaohezi,HDB
鹤岗,hegang,HGB
皇姑屯,huanggutun,HTT
红果,hongguo,HEM
黑河,heihe,HJB
怀化,huaihua,HHQ
汉口,hankou,HKN
葫芦岛,huludao,HLD
海拉尔,hailaer,HRX
霍林郭勒,huolinguole,HWD
海伦,hailun,HLB
侯马,houma,HMV
哈密,hami,HMR
淮南,huainan,HAH
桦南,huanan,HNB
海宁西,hainingxi,EUH
鹤庆,heqing,HQM
怀柔北,huairoubei,HBP
怀柔,huairou,HRP
黄石东,huangshidong,OSN
华山,huashan,HSY
黄石,huangshi,HSN
黄山,huangshan,HKH
衡水,hengshui,HSP
衡阳,hengyang,HYQ
菏泽,heze,HIK
贺州,hezhou,HXZ
汉中,hanzhong,HOY
惠州,huizhou,HCQ
吉安,jian,VAG
集安,jian,JAL
江边村,jiangbiancun,JBG
晋城,jincheng,JCF
金城江,jinchengjiang,JJZ
景德镇,jingdezhen,JCG
嘉峰,jiafeng,JFF
加格达奇,jiagedaqi,JGX
井冈山,jinggangshan,JGG
蛟河,jiaohe,JHL
金华南,jinhuanan,RNH
金华,jinhua,JBH
九江,jiujiang,JJG
吉林,jilin,JLL
荆门,jingmen,JMN
佳木斯,jiamusi,JMB
济宁,jining,JIK
集宁南,jiningnan,JAC
酒泉,jiuquan,JQJ
江山,jiangshan,JUH
吉首,jishou,JIQ
九台,jiutai,JTL
镜铁山,jingtieshan,JVJ
鸡西,jixi,JXB
蓟县,jixian,JKP
绩溪县,jixixian,JRH
嘉峪关,jiayuguan,JGJ
江油,jiangyou,JFW
锦州,jinzhou,JZD
金州,jinzhou,JZT
库尔勒,kuerle,KLR
开封,kaifeng,KFF
岢岚,kelan,KLV
凯里,kaili,KLW
喀什,kashi,KSR
昆山南,kunshannan,KNH
奎屯,kuitun,KTR
开原,kaiyuan,KYT
六安,luan,UAH
灵宝,lingbao,LBF
芦潮港,luchaogang,UCH
隆昌,longchang,LCW
陆川,luchuan,LKZ
利川,lichuan,LCN
临川,linchuan,LCG
潞城,lucheng,UTP
鹿道,ludao,LDL
娄底,loudi,LDQ
临汾,linfen,LFV
良各庄,lianggezhuang,LGP
临河,linhe,LHC
漯河,luohe,LON
绿化,lvhua,LWJ
隆化,longhua,UHP
丽江,lijiang,LHM
临江,linjiang,LQL
龙井,longjing,LJL
吕梁,lvliang,LHV
醴陵,liling,LLG
柳林南,liulinnan,LKV
滦平,luanping,UPP
六盘水,liupanshui,UMW
灵丘,lingqiu,LVV
旅顺,lvshun,LST
陇西,longxi,LXJ
澧县,lixian,LEQ
兰溪,lanxi,LWH
临西,linxi,UEP
龙岩,longyan,LYS
耒阳,leiyang,LYQ
